patent_no,title,
8273148,Nickel braze alloy composition,
8272214,Shape memory alloy cables,
8268236,"Aluminum-based master alloy for manganese alloying of metal alloys, method for producing thereof and use thereof",
8268235,Implant with a base body of a biocorrodible magnesium alloy,
8268098,"Copper alloy having high strength, high electric conductivity and excellent bending workability",
8268035,Process for producing refractory metal alloy powders,
8266800,Repair of nickel-based alloy turbine disk,
8262964,"Refractory alloy, fibre-forming plate and method for producing mineral wool",
8262817,First stage dual-alloy turbine wheel,
8262816,Hafnium alloy target,
8262811,Aqueous reaction solution and method of passivating workpieces having zinc or zinc alloy surfaces and use of a heteroaromatic compound,
8262810,Method for conversion treating surface of magnesium alloy workpiece,
8258242,"Compatibilizing agent for polymer alloy, polymer alloy, and master batch for preparation of polymer alloy",
8257515,"Copper alloy containing cobalt, nickel and silicon",
8253068,Method of cutting bulk amorphous alloy,
8252688,Method and composition for chemical mechanical planarization of a metal or a metal alloy,
8252166,Method of roughening rolled copper or copper alloy foil,
8252130,Surface treatment for titanium alloy member for aerospace equipment,
8252128,Aluminum alloy and extrusion,
8251700,Surface treatment process for implants made of titanium alloy,
8251128,Method of producing copper alloy wire,
"RE43,590",Aluminum alloy electrode for semiconductor devices,
8247282,Enhancing interface characteristics between a channel semiconductor alloy and a gate dielectric by an oxidation process,
8247084,Aluminum alloy brazing sheet,
8247083,Aluminium alloy brazing sheet,
8247082,Aluminum alloy brazing sheet,
8247034,Advanced catalyst system prepared from a whiskered aluminum-containing metallic alloy substrate,
8246766,High-strength Ni-based alloy tube for nuclear power use and method for manufacturing the same,
8246764,Copper alloy sputtering target and semiconductor element wiring,
8246763,High strength aluminum alloy casting and method of production of same,
8246714,Production of metal and metal-alloy nanoparticles with high repetition rate ultrafast pulsed laser ablation in liquids,
8245552,Process for producing high-alloy seamless tube,
8245516,Shape memory alloy actuated adaptive exhaust nozzle for jet engine,
8243387,Magnetic head with plated magnetic film formed on PdNi alloy electrode film,
8242502,TFT array substrate having conductive layers containing molybdenum nitride and copper alloy,
8241719,Creep resistant aluminium alloy for multilayer tubes,
8241439,Ni-Cr alloy material,
8241438,Hafnium alloy target,
8236654,Reduction of threshold voltage variation in transistors comprising a channel semiconductor alloy by reducing deposition non-uniformities,
8231990,"Alloy film for a metal separator for a fuel cell, a manufacturing method thereof and a target material for sputtering, as well as a metal separator, and a fuel cell",
8231743,Composition and process for improved zincating magnesium and magnesium alloy substrates,
8230899,Systems and methods for forming and processing alloy ingots,
8230762,Methods of forming earth-boring rotary drill bits including bit bodies having boron carbide particles in aluminum or aluminum-based alloy matrix materials,
8227091,Aluminum alloy brazing sheet for heat exchanger,
8226855,"Pt or Pt alloy materials hardened by oxide dispersion, produced by inner oxidation and having proportions of oxide and good ductility",
8226781,High strength aluminum alloy fin material and method of production of same,
8226449,Method of manufacturing rhenium alloy emission filaments,
8225851,Aluminum alloy material and plate heat exchanger with superior corrosion resistance,
8222504,Musical instrument string having cobalt alloy wrap wire,
8221639,Surface treatment methods for implants made of titanium or titanium alloy,
8221560,Lead free solder alloy,
8221556,"Copper alloy plumbing hardware, such as valves and tube couplings, and the treatment method for reducing elution of lead",
8221518,Conductive compositions containing blended alloy fillers,
8221517,Cemented carbide--metallic alloy composites,
8221434,Retrieval device made of precursor alloy cable,
8220526,Method for continuious and efficient casting roll of magnesium alloy plate,
8220259,Shape-memory alloy actuator,
8216772,Method for manufacturing mechanical shutter blades using beryllium-copper alloy substrate,
8216694,"Coating composition for steel sheets having zinc and zinc alloy coating layer, method for forming coating layer using the coating composition and steel sheet having the coating layer formed thereof",
8216693,Brazing sheet of aluminum alloy,
8216398,Method for controlling phase transformation temperature in metal alloy of a device,
8216396,Shape memory alloy articles with improved fatigue performance and methods therefor,
8216395,Lead-free solder alloy,
8211704,Determination method of magnesium content in aluminium alloy,
8211594,Compositions of nanometal particles containing a metal or alloy and platinum particles,
8211569,Lithium secondary battery including a negative electrode which is a sintered layer of silicon particles and/or silicon alloy particles and a nonaqueous electrolyte containing carbon dioxide dissolved therein and method for producing same,
8211360,Nickel-based heat resistant alloy for gas turbine combustor,
8211249,Copper base rolled alloy and manufacturing method therefor,
8211248,"Aged-hardenable aluminum alloy with environmental degradability, methods of use and making",
8211202,"Gas-absorbing substance, gas-absorbing alloy and gas-absorbing material",
8210233,"Apparatus for manufacturing metal articles, in particular of light alloy",
8206597,"Protected alloy surfaces in microchannel apparatus and catalysts, alumina supported catalysts, catalyst intermediates, and methods of forming catalysts and microchannel apparatus",
8206519,Aluminium foil alloy,
8202477,Magnesium-based alloy,
8202375,Temperature-stable cast iron alloy and use of said alloy,
8202347,Process for recycling aluminum alloy scrap coming from the aeronautical industry,
8197748,Corrosion resistant structural alloy for electrolytic reduction equipment for spent nuclear fuel,
8197747,Low-melting boron-free braze alloy compositions,
8197615,Amorphous alloy hooks and methods of making such hooks,
8197574,Dispersoid reinforced alloy powder and method of making,
8194364,Magnetoresistive effect element in CPP-type structure including ferromagnetic layer configured with CoFe system alloy and magnetic disk device therewith,
8192636,Composition and method for improved adhesion of polymeric materials to copper alloy surfaces,
8189304,Magnetoresistive magnetic head having a cpp element using a heusler alloy layer and a high saturation magnetization layer,
8189255,All solid state type reflection light control electrochromic element employing magnesium/titanium alloy and light control member,
8188757,Method of controlling a shape memory alloy actuator utilizing resistance change,
8187725,"Welding alloy and articles for use in welding, weldments and method for producing weldments",
8187724,Method of manufacture of a dual alloy impeller,
8187531,Wire for welding nickel based heat resistant alloy,
8187529,Wear resistant alloy and method of producing thereof,
8187448,Crystalline chromium alloy deposit,
8182932,Sn-plated copper alloy strip having improved fatigue characteristics,
8182879,Method for preventing elution of nickel from water-contact instrument of copper alloy by formation of a protective film,
8182620,"Nano-crystalline, magnetic alloy, its production method, alloy ribbon and magnetic part",
8181690,Method of forming a coated article including a magnesium alloy,
8178174,Ag base alloy thin film and sputtering target for forming Ag base alloy thin film,
8177927,Method of making shape memory alloy articles with improved fatigue performance,
8177926,Amorphous Fe100-a-bPaMb alloy foil and method for its preparation,
8177923,"Nano-crystalline, magnetic alloy, its production method, alloy ribbon and magnetic part",
8177890,Stable supported Pd-alloy membranes,
8176966,Process and equipment for producing copper alloy material,
8174848,Reinforcement frame for a display panel using extruded aluminum alloy and apparatus and method for manufacturing the same,
8173501,Reduced STI topography in high-K metal gate transistors by using a mask after channel semiconductor alloy deposition,
8173269,"Alloy coating film, method for production of alloy coating film, and heat-resistant metal member",
8172961,Al-Ni-rare earth element alloy sputtering target,
8172811,Drug delivery pump drive using a shaped memory alloy wire,
8172800,Device and method employing shape memory alloy,
8171980,"Process for producing thermoelectric semiconductor alloy, thermoelectric conversion module, thermoelectric power generating device, rare earth alloy, producing process thereof, thermoelectric conversion material, and thermoelectric conversion system using filled skutterudite based alloy",
8171886,"Structure used in seawater, copper alloy wire or bar forming the structure, and method for manufacturing the copper alloy wire or bar",
8171754,Reduced alloy bushing flange,
8169031,Continuous metal semiconductor alloy via for interconnects,
8168117,Method to improve stability of burn-resistant titanium alloy,
8168015,Direct quench heat treatment for aluminum alloy castings,
8168013,Al-Mg-Si aluminum alloy extruded product exhibiting excellent fatigue strength and impact fracture resistance,
8168012,Binary titanium-zirconium alloy for surgical implants and a suitable manufacturing process,
8168010,Low alloy steel for oil well pipes having excellent sulfide stress cracking resistance,
8167970,Method for purifying Al-Ti-B alloy melt,
8164024,Composition of amorphous alloy and method for fabricating the same,
8163143,Al-Ni-La-Si system Al-based alloy sputtering target and process for producing the same,
8163110,Superfine copper alloy wire and method for manufacturing same,
8163106,"R-Fe-B based sintered magnet having on the surface thereof vapor deposited film of aluminum or alloy thereof, and method for producing the same",
8158473,Method for manufacturing a semiconductor device having a silicide region comprised of a silicide of a nickel alloy,
8158276,FePtP-alloy magnetic thin film,
8158273,Aluminium alloy brazing sheet product,
8157934,Wear-resistant aluminum alloy material with excellent workability and method for producing the same,
8157932,Al-Zn-Mg-Cu-Sc high strength alloy for aerospace and automotive castings,
8157927,"Raw material alloy for R-T-B system sintered magnet, R-T-B system sintered magnet and production method thereof",
8157300,Shaped memory alloy decklid actuator,
8157158,Modification of solder alloy compositions to suppress interfacial void formation in solder joints,
8153054,High-temperature alloy,
8153015,Ultra-passivation of chromium-containing alloy and methods of producing same,
8152976,AG-based alloy sputtering target,
8152940,Aluminum alloy forging member and process for producing the same,
8148241,Indium surfactant assisted HVPE of high quality gallium nitride and gallium nitride alloy films,
8147981,"Alloy, in particular for a bearing coating",
8147913,Surface treatment method for magnesium alloy,
8147909,Method of making and using alloy susceptor with improved properties for film deposition,
8147751,Silver-white copper alloy and process for producing the same,
8147750,Gold alloy wire for ball bonding,
8147625,Al-Mg-Si alloy suited for extrusion,
8147622,Fe-based amorphous magnetic alloy and magnetic sheet,
8146357,Self assembling/quick assembly structure using shape memory alloy materials,
8143517,"Extra-fine copper alloy wire, extra-fine copper alloy twisted wire, extra-fine insulated wire, coaxial cable, multicore cable and manufacturing method thereof",
8142907,Aluminum alloy brazing sheet having high-strength and production method therefor,
8142906,Sn-plated copper or Sn-plated copper alloy having excellent heat resistance and manufacturing method thereof,
8142639,Hard gold alloy plating bath,
8142637,Gold alloy electrolytes,
8142579,Process for producing aluminum alloy material and heat treated aluminum alloy material,
8142578,Process for manufacturing hot-forged parts made of a magnesium alloy,
8142575,High strength aluminum alloy fin material for heat exchanger and method for production thereof,
8141716,Polysulfone and poly(N-vinyl lactam) polymer alloy and fiber and filter materials made of the alloy,
8138606,"Wiring conductor, method for fabricating same, terminal connecting assembly, and Pb-free solder alloy",
8138576,"Production method and production apparatus of tin or solder alloy for electronic components, and solder alloy",
8138057,"Metal oxide alloy layer, method of forming the metal oxide alloy layer, and methods of manufacturing a gate structure and a capacitor including the metal oxide alloy layer",
8138050,Transistor device comprising an asymmetric embedded semiconductor alloy,
8137839,Alloy powder for electrode and method for producing same,
8137755,"Method for preparing pre-coated, ultra-fine, submicron grain high-temperature aluminum and aluminum-alloy components and components prepared thereby",
8137489,Copper alloy material and a method for fabricating the same,
8137488,"Method of producing a flat zirconium alloy product, flat product thus obtained and a nuclear plant reactor grid which is made from said flat product",
8137293,Guidewires including a porous nickel-titanium alloy,
8136370,Silver-palladium alloy,
8136356,Shape memory alloy actuator system,
8134290,Emission filaments made from a rhenium alloy and method of manufacturing thereof,
8133613,Nonaqueous electrolyte secondary battery anode material with a uniform metal-semiconductor alloy layer,
8133595,"Multilayer alloy coating film, heat-resistant metal member having the same, and method for producing multilayer alloy coating film",
8133358,Method and apparatus for producing a metal wire coated with a layer of metal alloy,
8133334,Process for manufacturing high strength corrosion resistant alloy for oil patch applications,
8128867,High strength hard alloy and method of preparing the same,
8128764,"Titanium alloy microstructural refinement method and high temperature, high strain rate superplastic forming of titanium alloys",
8124532,Semiconductor device comprising a copper alloy as a barrier layer in a copper metallization layer,
8124281,Hydrogen storage alloy electrode and alkaline storage battery using the same,
8124178,Method and apparatus application of metallic alloy coatings,
8123980,Nitrogen-containing alloy and method for producing phosphor using same,
8123877,"Heat-resistant magnesium alloy for casting heat-resistant magnesium alloy cast product, and process for producing heat-resistant magnesium alloy cast product",
8122941,Aluminum alloy for vehicle cylinder liner and method of manufacturing vehicle cylinder liner using the same,
8119492,Dissolving precipates in alloy material in capacitor structure,
8119205,"Process for preparing palladium alloy composite membranes for use in hydrogen separation, palladium alloy composite membranes and products incorporating or made from the membranes",
8118951,Aluminum alloy sheet for lithographic printing plate,
8118906,Methodology for recycling Ru and Ru-alloy deposition targets and targets made of recycled Ru and Ru-based alloy powders,
8118264,Shape memory alloy actuator,
8117938,Shifter with shape memory alloy and safety,
8114341,Nickel alloy sputtering target and nickel silicide film,
8113414,Method of brazing an aluminum alloy material and method of producing an aluminum alloy heat exchanger,
8110169,Carbon alloy products and a process for their production,
8110051,High strength aluminum alloy fin material for heat exchanger and method for production thereof,
8110049,"Alloy containing rare earth element, production method thereof, magnetostrictive device, and magnetic refrigerant material",
8109087,Overheating protection for shape memory alloy actuators,
8106573,Platinum alloy for spark plug electrodes and spark plug having a platinum alloy electrode,
8105715,Hydrogen-absorbing alloy and nickel-metal hydride storage battery,
8105699,"Zn alloy particles for high corrosion resistance rust protection paint, method of production of particles, high corrosion resistance rust protection paint containing particles, high corrosion resistance steel material coated with paint, and steel structure having steel material",
8105530,Reinforced aluminum alloy with high electrical and thermal conductivity and its manufacturing process thereof,
8105449,High-strength aluminum alloy extruded product with excellent impact absorption and stress corrosion cracking resistance and method of manufacturing the same,
8105446,"Process for producing alloy slab for rare-earth sintered magnet, alloy slab for rare-earth sintered magnet and rare-earth sintered magnet",
8105443,Non-ageing permanent magnet from an alloy powder and method for the production thereof,
8104548,Shape memory alloy actuated steerable drilling tool,
8101123,Composite alloy bonding wire and manufacturing method thereof,
8101122,NiCrMoCb alloy with improved mechanical properties,
8101121,Hydrogen absorbing alloy for alkaline storage battery,
8101030,Manufacturing method for composite alloy bonding wire,
8099991,Device and method for molding bistable magnetic alloy wire,
8099843,Device for molding bistable magnetic alloy wire,
8097208,White copper-base alloy,
8097102,Cu-Ti-based copper alloy sheet material and method of manufacturing same,
8097101,Aluminium casting alloy,
8097100,Ternary aluminum alloy films and targets for manufacturing flat panel displays,
8092889,"Silver alloy reflective film for optical information storage media, optical information storage medium, and sputtering target for the deposition of silver alloy reflective film for optical information storage media",
8092616,Method for producing a giant magnetostrictive alloy,
8092091,Bearing made of sintered copper alloy for a recirculation exhaust gas flow rate control valve,
8088234,AA2000-series aluminum alloy products and a method of manufacturing thereof,
8088231,Method for producing a titanium-base alloy having an oxide dispersion therein,
8084104,Atomic composition controlled ruthenium alloy film formed by plasma-enhanced atomic layer deposition,
8083990,Iron-based alloy having shape memory properties and superelasticity and its production method,
8083908,High strength vacuum deposited nitinol alloy films and method of making same,
8083872,Method of heat treating a superalloy component and an alloy component,
8083871,High crashworthiness Al-Si-Mg alloy and methods for producing automotive casting,
8083870,Aluminum alloy products having improved property combinations and method for artificially aging same,
8083867,"Amorphous alloy ribbon, nanocrystalline soft magnetic alloy and magnetic core consisting of nanocrystalline soft magnetic alloy",
8083830,Slag for electroslag remelting for copper alloy and method for producing copper alloy material,
8083718,Device and method employing shape memory alloy,
8079984,Device and method employing shape memory alloy,
8079983,Device and method employing shape memory alloy,
"RE43,012",Quick plastic forming of aluminum alloy sheet metal,
8077411,Lens displacement mechanism using shaped memory alloy,
8076627,Shape memory alloy for MCP lockdown,
8075957,Method of preventing corrosion degradation using Ni or Ni-alloy plating,
8075709,Surface treatment method for aluminum or an aluminum alloy and treating fluid used therefor,
8075662,Nickel braze alloy composition,
8075527,Device and method employing shape memory alloy,
8073320,Shape memory alloy actuation apparatus,
8072302,Inchworm actuator based on shape memory alloy composite diaphragm,
8071172,Process for manufacturing devices carrying at least one active material by deposition of a low-melting alloy,
8071020,High strength Cr-Ni alloy material and seamless pipe for oil well,
8070893,Cu--Ni--Si--Co--Cr copper alloy for electronic materials and method for manufacturing same,
8070892,High Fe contained zirconium alloy compositions having excellent corrosion resistance and preparation method thereof,
8070891,Amorphous alloy and manufacturing method thereof,
8070886,Treatment solution for forming of black trivalent chromium chemical coating on zinc or zinc alloy and method of forming black trivalent chromium chemical coating on zinc or zinc alloy,
8070559,Zr-rich bulk amorphous alloy article and method of surface grinding thereof,
8069902,Aluminum alloy vacuum casting equipment,
8066968,X-ray-induced dissociation of H.sub.2O and formation of an O.sub.2-H.sub.2 alloy at high pressure,
8066938,Ni-Cr-Co alloy for advanced gas turbine engines,
8066665,Device and method employing shape memory alloy,
8065901,"Mandrel bar for high-alloy rolling, method for surface treating a mandrel bar, method for producing mandrel bar, and method for operating seamless pipe mill",
8063471,Copper alloy sheet for electric and electronic parts,
8063395,Memristor amorphous metal alloy electrodes,
8062764,Aluminum alloy brazing sheet and aluminum alloy tube for heat exchanger,
8062715,Fabrication of alloy variant structures using direct metal deposition,
8062441,"High hardness, high corrosion resistance and high wear resistance alloy",
8062440,Hafnium alloy target and process for producing the same,
8062439,Magnesium alloy plate and method for production thereof,
8062437,Thermal forming of refractory alloy surgical needles and fixture and apparatus,
8058595,"Collapsible shape memory alloy (SMA) nose cones for air vehicles, method of manufacture and use",
8058122,Formation of metal gate electrode using rare earth alloy incorporated into mid gap metal,
8057890,Composite of aluminum alloy and resin and manufacturing method thereof,
8056608,Method of mitigating against thermal contraction induced cracking during casting of a super Ni alloy,
8053273,Shallow PN junction formed by in situ doping during selective growth of an embedded semiconductor alloy by a cyclic growth/etch deposition process,
8053114,"Hydrogen-absorbing alloy electrode, alkaline storage battery, and method of manufacturing the alkaline storage battery",
8053096,Nickel based alloy layer for perpendicular recording media,
8053068,Shape memory alloy composite material shock and vibration isolator devices,
8052775,Process for the preparation of a two-layer metal palladium or palladium alloy composite membrane,
8051696,Press forming method for aluminum alloy sheet and pressing device,
8051656,Shape-memory alloy actuator,
8048748,Reducing contamination in a process flow of forming a channel semiconductor alloy in a semiconductor device,
8048364,Method and apparatus for manufacturing aluminum alloy strip for lithographic printing plates,
8046994,Precision method and apparatus for controlling the shape memory alloy,
8046900,Process for manufacturing a light alloy wheel rim and wheel rim resulting therefrom,
8045321,"Resin-coated aluminum alloy sheet material for aluminum electrolytic capacitor case, case for aluminum electrolytic capacitor, and aluminum electrolytic capacitor",
8044143,Polyester/polycarbonate alloy resin composition and molded product made using the same,
8043711,Aluminum alloy clad sheet for a heat exchanger and its production method,
8043536,Silver-palladium alloy containing conductor paste for ceramic substrate and electric circuit,
8043448,Non-heat treated zirconium alloy fuel cladding and a method of manufacturing the same,
8043445,High-damage tolerant alloy product in particular for aerospace applications,
8043068,"Ni-Fe based super alloy, process of producing the same and gas turbine",
8042603,"Method of manufacturing aluminum alloy plate for lithographic printing plate, aluminum alloy plate for lithographic printing plate obtained thereby and lithographic printing plate support",
8042600,Apparatus for producing alloy,
8038763,Au-Pt heteroaggregate dendritic nanostructures and Au-Pt alloy nanoparticles and their use as catalysts,
8030830,Iridium alloy for spark plug electrodes,
8029628,Noble metal alloy for spark plug and method for producing and processing the same,
8025965,Paint for highly corrosion-resistant zinc-alloy coated steels and steel structure having coated film of said paint,
8025839,Steel alloy and tools or components manufactured out of the steel alloy,
8025748,Al--Mn based aluminum alloy composition combined with a homogenization treatment,
8025747,Titanium alloy having improved corrosion resistance and strength,
8025710,"Tungsten alloy grains, processing method using the same, and method for manufacturing the same",
8025367,Inkjet printhead with titanium aluminium alloy heater,
8025093,Process for manufacturing cast aluminum alloy plate,
8022541,Au-Ag based alloy wire for semiconductor package,
8021606,"Hydrogen storage alloy, its production method, hydrogen storage alloy electrode, and secondary battery",
8021605,Titanium alloy,
8021500,Aluminum alloy for die casting and molded article,
8021499,Functional member from co-based alloy and process for producing the same,
8018682,Magnetic disk comprising an aluminum alloy oxynitride underlayer and a diamond-like carbon overcoat,
8017548,Method for manufacture of noble metal alloy catalysts and catalysts prepared therewith,
8017247,Self cleaning aluminum alloy substrates,
8016958,High strength aluminum alloy sheet and method of production of same,
8016955,Magnesium based amorphous alloy having improved glass forming ability and ductility,
8016952,Ferromagnetic shape memory alloy and its use,
8012410,High silicon niobium casting alloy and process for producing the same,
8012333,Aluminium alloy sheet with roughened surface,
8012270,Soft magnetic iron/cobalt/chromium-based alloy and process for manufacturing it,
8009387,Forming an aluminum alloy oxynitride underlayer and a diamond-like carbon overcoat to protect a magnetic recording head and/or media,
8006741,"Process for producing thermoelectric semiconductor alloy, thermoelectric conversion module, thermoelectric power generating device, rare earth alloy, producing process thereof, thermoelectric conversion material, and thermoelectric conversion system using filled skutterudite based alloy",
8004094,Copper alloy bonding wire for semiconductor device,
8003218,Al-Ni-B alloy material for reflective film,
8003021,Synthesis of Pb alloy and core/shell nanowires,
8002913,AA7000-series aluminum alloy products and a method of manufacturing thereof,
8002235,Electrically actuated valves made from shape memory alloy wires embedded in elastomer,
8001828,Miniaturized metal (metal alloy)/ PdO.sub.x/SiC hydrogen and hydrocarbon gas sensors,
8000027,"Drive device, lens barrel, image pickup apparatus, lens drive method and method of producing shape memory alloy",
7998606,Perpendicular media with Cr-doped Fe-alloy-containing soft underlayer (SUL),
7998593,Process for coating silver indium alloy metallic seal,
7998402,High strength weldable Al-Mg alloy,
7998288,High strength aluminum alloy fin material and method of production of same,
7998239,Alloy nanoparticle synthesis using ionizing radiation,
7997325,"Production method of thermoelectric semiconductor alloy, thermoelectric conversion module and thermoelectric power generating device",
7994503,"Cu alloy wiring film, TFT element for flat-panel display using the Cu alloy wiring film, and Cu alloy sputtering target for depositing the Cu alloy wiring film",
7994241,Wood composite alloy composition having a compatibilizer that improves the ability to process and compress cellulosic fiber,
7994102,Method of treating an alloy surface with an alkyl sarcosinate,
7994043,Lead free alloy bump structure and fabrication method,
7993577,Cost-effective titanium alloy powder compositions and method for manufacturing flat or shaped articles from these powders,
7993537,Method for improving adhesion between a shape memory alloy and a polymer,
7993474,Aircraft structural member made of an Al-Cu-Mg alloy,
7993101,"Nickel base alloy and use of it, turbine blade or vane and gas turbine",
7992795,Shape memory alloy actuator,
7988908,Filler metal alloy compositions,
7988800,Method for producing Mg-REM-Ni based hydrogen-absorbing alloy,
7988798,Amorphous alloy ribbon superior in magnetic characteristics and lamination factor,
7988797,"Nano-composite magnet, quenched alloy for nano-composite magnet, and method for producing them and method for distinguishing them",
7988764,Process for producing a grain refining master alloy,
7988762,Protective gas composition for magnesium/magnesium alloy production and combustion preventing method,
7985923,Terminal crimping structure and terminal crimping method of crimping terminal to copper alloy wire and wire harness with the terminal crimping structure,
7985373,Alloy and tube for nuclear fuel assembly and method for making same,
7985329,Technique for electrochemically depositing an alloy having a chemical order,
7984973,Thermal bend actuator comprising aluminium alloy,
7981258,Thin-film shape memory alloy device and method,
7981190,"Ultrafine alloy particles, and process for producing the same",
7980099,Multiple alloy bushing assembly,
7976775,Sintered binary aluminum alloy powder sintered material and method for production thereof,
7976647,Very high mechanical strength steel and method for making a sheet thereof coated with zinc or zinc alloy,
7974025,Shape memory alloy actuation apparatus,
7973351,"Stack having Heusler alloy, magnetoresistive element and spin transistor using the stack, and method of manufacturing the same",
7972727,Electrode compositions based on an amorphous alloy having a high silicon content,
7972718,Fluid manager using two shape memory alloy components and a battery including the same,
7972709,Cu-Zn alloy strip superior in thermal peel resistance of Sn plating and Sn plating strip thereof,
7972343,Retrieval device made of precursor alloy cable,
7971651,Shape memory alloy actuation,
7968444,Lead-free tin alloy electroplating compositions and methods,
7967057,"Induction melting apparatus employing halide type crucible, process for producing the crucible, method of induction melting, and process for producing ingot of ultrahigh-purity Fe-, Ni-, or Co-based alloy material",
7964291,Magnesium alloy compound type thermal metal material,
7963093,Steel cord with iron-zinc alloy coating,
7963028,Method and system for producing alloy wheels for motor vehicles,
7960208,Wafer level hermetic bond using metal alloy with raised feature,
7959856,Aluminum alloys for casting and aluminum alloy castings,
7959855,White precious metal alloy,
7959854,Heat resistant alloy adapted to precipitate fine Ti-Nb-Cr carbide or Ti-Nb-Zr-Cr carbide,
7959782,Method of manufacturing a Ni-Pt alloy,
7959606,Device and method employing shape memory alloy,
7958929,Apparatus for producing alloy and rare earth element alloy,
7958636,Method of manufacturing light-alloy wheel for vehicle and the wheel,
7955755,Compositions of nanometal particles containing a metal or alloy and platinum particles,
7955488,Process of electrodeposition platinum and platinum-based alloy nano-particles with addition of ethylene glycol,
7955449,Process for inducing a two-way shape memory effect in a device formed of a shape memory alloy and a device made by the process,
7955448,"Alloy for heat dissipation of semiconductor device and semiconductor module, and method of manufacturing alloy",
7955442,Method for producing sintered magnet and alloy for sintered magnet,
7955387,Amorphous metal alloy medical devices,
7952282,Brazing alloy and ceramic discharge lamp employing same,
7952165,Heterojunction bipolar transistor (HBT) with self-aligned sub-lithographic metal-semiconductor alloy base contacts,
7952086,Phase-change nonvolatile memory device using Sb-Zn alloy,
7951326,"Hydrogen absorbing alloy, hydrogen absorbing alloy electrode, secondary battery and production method of hydrogen absorbing alloy",
7951114,Device and method employing shape memory alloy,
7947136,Process for producing a corrosion-resistant austenitic alloy component,
7947133,Copper alloy strip material for electrical/electronic equipment and process for producing the same,
7947106,"Sb-Te alloy powder for sintering, sintered compact sputtering target obtained by sintering said powder, and manufacturing method of Sb-Te alloy powder for sintering",
7946022,Copper alloy for electronic machinery and tools and method of producing the same,
7943974,Spin MOS field effect transistor and tunneling magnetoresistive effect element using stack having Heusler alloy,
7943411,Apparatus and method of wafer bonding using compatible alloy,
7943255,Hydrogen-absorption alloy electrode,
7943021,Sb-Te alloy sintered compact target and manufacturing method thereof,
7942986,Magnesium alloy,
7942985,Alloy for soft magnetic layer in perpendicular magnetic recording medium,
7942983,Phosphating solution and method for conversion treating surface of magnesium alloy workpiece,
7942981,Rotationally symmetrical hollow body made of a deformable permanently magnetic alloy and its use and production process,
7940361,Copper alloy and liquid-crystal display device,
7939399,Semiconductor device having a strained semiconductor alloy concentration profile,
7938948,Silver and silver alloy plating bath,
7938918,"High-purity Ni-V alloy, target therefrom, high-purity Ni-V alloy thin film and process for producing high-purity Ni-V alloy",
7938916,Aluminum alloy sheet for lithographic printing plate and method of producing the same,
7938915,Rare earth alloy binderless magnet and method for manufacture thereof,
7937981,Process for treating metal alloy surgical needles to improve bending stiffness,
7935427,Magnesium alloy part and production method thereof,
7935305,"Hydrogen storage alloy, production method therefor and nickel-hydrogen secondary battery-use cathode",
7935303,Low alloy steel,
7931793,Tin or tin alloy electroplating solution,
7931759,Metal alloy compositions and articles comprising the same,
7931756,Method and machine of making rare-earth alloy granulated powder and method of making rare-earth alloy sintered body,
7928826,Electrical switching devices using a shape memory alloy (SMA) actuation mechanism,
7928541,Copper alloy sheet and QFN package,
7927436,High-strength aluminum alloy extruded product exhibiting excellent corrosion resistance and method of manufacturing same,
7927434,Co-Cr-Pt-B alloy sputtering target,
7927424,Padded clamp ring with edge exclusion for deposition of thick AlCu/AlSiCu/Cu metal alloy layers,
7926701,Method for brazing strips of aluminium alloy,
7923402,Metal alloy for electrochemical oxidation reactions and method of production thereof,
7923155,Lead-tin-silver-bismuth containing alloy for positive grid of lead acid batteries,
7922969,Corrosion-resistant nickel-base alloy,
7922967,"High-strength and high-toughness magnesium based alloy, driving system part using the same and manufacturing method of high-strength and high-toughness magnesium based alloy material",
7922889,Anodising aluminum alloy,
7922841,Method for preparing high-temperature nanophase aluminum-alloy sheets and aluminum-alloy sheets prepared thereby,
7921778,Single phase tungsten alloy for shaped charge liner,
7918946,Fe-based amorphous alloy excellent in soft magnetic properties,
7918944,Surface carburization technique of medical titanium alloy femoral head in hip arthroplasty,
7918805,Phlebotomy needle with shape memory alloy flashback sensor,
7917069,Development apparatus including a first developer member made of pure aluminum or an aluminum alloy and a second developer member of stainless steel,
7914627,"Processing solution for forming hexavalent chromium free and corrosion resistant conversion film on zinc or zinc alloy plating layers, hexavalent chromium free and corrosion resistant conversion film, method for forming the same",
7913779,"Earth-boring rotary drill bits including bit bodies having boron carbide particles in aluminum or aluminum-based alloy matrix materials, and methods for forming such bits",
7911795,"Electronic device including electronic component, heat dissipating member and alloy layer",
7910476,Adhesion and minimizing oxidation on electroless CO alloy films for integration with low K inter-metal dielectric and etch stop,
7910052,Near .beta.-type titanium alloy,
7910003,Polysulfone and poly(N-vinyl lactam) polymer alloy and fiber and filter materials made of the alloy,
7909952,Method for assembling main wing made of aluminum alloy,
7909948,Alloy powder raw material and its manufacturing method,
7909946,Copper alloy,
7909945,Soft magnetic iron-cobalt-based alloy and method for its production,
7907370,Tunneling magnetic sensing element having free layer containing CoFe alloy,
7906420,Method and apparatus for forming planar alloy deposits on a substrate,
7905301,"Earth boring drill bits made from a low-carbon, high-molybdenum alloy",
7901835,Platinum alloy catalyst,
7901782,Solder alloy and glass bonded body using the same,
7901522,Aluminum alloy with increased resistance and low quench sensitivity,
